TYPE,RANK,ANIMLENGTH,ATK,ATKRANGE,ATKSPD,WEIGHT,LVATK,EVOPROB,타입
1,1,0.6,100,3,1,15,10,100,근접단일
1,2,0.6,100,3,1,7,10,70,근접단일
1,3,0.6,100,3,1,1,10,40,근접단일
1,4,0.6,100,3,1,0.5,10,15,근접단일
1,5,0.6,100,3,1,0.1,10,5,근접단일
1,6,0.6,100,3,1,0.05,10,1,근접단일
2,1,1.05,100,3,1,15,10,100,근접다중
2,2,1.05,100,3,1,7,10,70,근접다중
2,3,1.05,100,3,1,1,10,40,근접다중
2,4,1.05,100,3,1,0.5,10,15,근접다중
2,5,1.05,100,3,1,0.1,10,5,근접다중
2,6,1.05,100,3,1,0.05,10,1,근접다중
3,1,0.8,100,3,1,15,10,100,원딜단일
3,2,0.8,100,3,1,7,10,70,원딜단일
3,3,0.8,100,3,1,1,10,40,원딜단일
3,4,0.8,100,3,1,0.5,10,15,원딜단일
3,5,0.8,100,3,1,0.1,10,5,원딜단일
3,6,0.8,100,3,1,0.05,10,1,원딜단일
4,1,1.6,100,3,1,15,10,100,원딜다중
4,2,1.6,100,3,1,7,10,70,원딜다중
4,3,1.6,100,3,1,1,10,40,원딜다중
4,4,1.6,100,3,1,0.5,10,15,원딜다중
4,5,1.6,100,3,1,0.1,10,5,원딜다중
4,6,1.6,100,3,1,0.05,10,1,원딜다중
5,1,1,10,5,0,15,10,100,버프
5,2,1,10,5,0,7,10,70,버프
5,3,1,10,5,0,1,10,40,버프
5,4,1,10,5,0,0.5,10,15,버프
5,5,1,10,5,0,0.1,10,5,버프
5,6,1,10,5,0,0.05,10,1,버프
6,7,1,100,3,1,0.1,10,100,근접다중유니크
7,7,1.2,100,10,1,0.1,10,100,원거리다중유니크
8,7,1,100,3,1,0.1,10,100,버프유니크
